       Step     Time          Energy          fmax
LBFGS:   92 12:31:48      172.075867    18453.754975
LBFGS:   93 12:31:48      135.097382    16075.850894
LBFGS:   94 12:31:48      170.537781    18471.620516
LBFGS:   95 12:31:48      185.443176    16485.678987
LBFGS:   96 12:31:48      165.715668    18117.817058
LBFGS:   97 12:31:48      189.351440    19226.251504
LBFGS:   98 12:31:49      181.778381    17074.711152
LBFGS:   99 12:31:49      189.373566    19236.567923
LBFGS:  100 12:31:49      181.790741    17069.950020
       Step     Time          Energy          fmax
LBFGS:    0 12:31:49       -7.538474      330.833507
LBFGS:    1 12:31:49       -7.948782      192.071545
LBFGS:    2 12:31:49       -7.896379      242.974333
LBFGS:    3 12:31:49       -7.989563       44.062440
LBFGS:    4 12:31:49       -7.991784       16.964854
LBFGS:    5 12:31:49       -7.992122        1.136442
LBFGS:    6 12:31:49       -7.992122        0.022412
LBFGS:    7 12:31:49       -7.992123        0.000115
       Step     Time          Energy          fmax
LBFGS:    0 12:31:49      -12.429937      515.819814
LBFGS:    1 12:31:49      -13.120143      474.916624
LBFGS:    2 12:31:49      -13.858064      593.855141
LBFGS:    3 12:31:49      -14.115158      566.131447
LBFGS:    4 12:31:49      -13.890414      430.991142
LBFGS:    5 12:31:49      -13.831743      374.739836
LBFGS:    6 12:31:49      -13.872754      435.863371
LBFGS:    7 12:31:49      -13.723018      435.297950
LBFGS:    8 12:31:49      -13.843602      444.833567
LBFGS:    9 12:31:49      -13.999660      532.716552
LBFGS:   10 12:31:49      -13.882168      451.813683
LBFGS:   11 12:31:49      -13.867282      433.393210
LBFGS:   12 12:31:49      -13.871115      462.741087
LBFGS:   13 12:31:49      -13.885897      519.179688
LBFGS:   14 12:31:49      -13.942075      589.874634
LBFGS:   15 12:31:49      -14.239562      597.682915
LBFGS:   16 12:31:50      -14.356201      466.335077
LBFGS:   17 12:31:50      -14.279974      609.654425
